category,question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Slang & Culture","What is a Fetish?","A negative habit","A strong sexual interest in a particular object, activity, or body part","A type of greeting","A form of contract","1","A fetish is a strong sexual focus on non-genital objects or activities, often incorporated into BDSM scenes."
"Slang & Culture","What is Leather in BDSM culture?","A type of jacket","A subculture that incorporates leather clothing and gear into their identity and practices","A type of food","A safety tool","1","Leather refers both to the material (used for gear) and a specific, historical subculture within the BDSM community."
"Slang & Culture","What is a Pup in Pet Play?","A small dog","A person who role-plays as a dog","A type of dominant","A type of beginner","1","A Pup is a common term for a person who engages in role-play as a dog, often wearing a hood and harness."
"Slang & Culture","What is Harness in Pet Play?","A safety device","A set of straps or gear worn for aesthetic or control purposes","A type of training","A type of mask","1","A harness in pet play is often worn by the submissive (pup/kitten/etc.) and used by the dominant (handler) to guide or control them."
"Slang & Culture","What is Furries in relation to BDSM?","People who wear costumes","A community focused on anthropomorphic animal characters, which sometimes overlaps with pet play","A type of animal","A safety rule","1","The Furry community focuses on anthropomorphic characters and art, and while separate, there can be overlap with the Pet Play subculture."
"Slang & Culture","What is a Rubber/Latex fetish?","A type of shoe","Sexual interest in clothing and items made of rubber or latex","A safety rule","A type of material","1","A rubber or latex fetish involves sexual arousal from the sight, feel, or smell of rubber or latex clothing."
"Slang & Culture","What is Dressing Out?","Getting ready","The process of changing from play clothes back into street clothes after a scene","A type of punishment","A form of humiliation","1","Dressing Out is the cultural process of transitioning back to a vanilla state after a scene, symbolizing the end of the play."
"Slang & Culture","What is The Lair (historically)?","A type of animal home","A famous BDSM club/dungeon in the US","A secret meeting place","A type of game","1","The Lair refers to one of the most famous, long-running BDSM clubs/dungeons in the United States, known for its extensive facilities."
"Slang & Culture","What is a ""slut Drop""?","A type of dance","A sexual move performed by a submissive","A term for someone who is promiscuous","A derogatory term for sub drop","3","Slut Drop is a derogatory term sometimes used for Sub Drop, emphasizing the difference between the post-scene low and the high."
"Slang & Culture","What is Gothic style often associated with in BDSM culture?","A type of architecture","A fashion and aesthetic style with dark, romantic, and often fetish elements","A music genre","A type of toy","1","Gothic style—dark clothing, leather, metal—often overlaps as a popular aesthetic choice within the BDSM and fetish communities."
"Slang & Culture","What is The Scene often used to refer to?","A specific BDSM session","The wider community and culture surrounding BDSM","A movie set","A place to meet","1","The Scene is a broad term referring to the community, culture, and social environment of BDSM and kink practitioners."
"Slang & Culture","What is a Brat?","A naughty child","A submissive who actively and playfully resists or challenges the dominant's authority","A type of toy","A dominant","1","A Brat is a submissive who enjoys challenging or testing their dominant's authority in a consensual, pre-negotiated way."
"Slang & Culture","What is a Brat Tamer?","A type of animal trainer","A dominant who specifically enjoys playing with brats and enforcing rules","A parenting technique","A form of punishment","1","A Brat Tamer is the dominant partner who takes pleasure in disciplining and controlling a bratty submissive, often involving specific rule-sets and punishments."
"Slang & Culture","What is Pony Play?","Horse riding","A form of pet play where the submissive role-plays as a pony or horse","A type of game","A type of toy","1","Pony Play is a form of pet play where the submissive takes on the role of a pony, often involving a bit, harness, and cart or handler."
"Kink Acronym","What does the core acronym BDSM stand for?","Bondage, Discipline, Sadism, Masochism","Bondage & Discipline, Dominance & Submission, Sadism & Masochism","Bondage, Dominance, Sadism, Mastery","Bondage, Devotion, Submission, Masochism","1","BDSM is a portmanteau combining BD (Bondage & Discipline), DS (Dominance & Submission), and SM (Sadism & Masochism)."
"Kink Acronym","In a D/s dynamic, what does the 's' stand for?","Sadist","Safety","Submissive","Sir","2","D/s stands for Dominant/submissive, describing the core power exchange relationship."
"Kink Acronym","What does S&M specifically refer to?","Safe and Monogamous","Sensation and Mindplay","Sadism and Masochism","Submission and Mastery","2","S&M stands for Sadism and Masochism, the giving and receiving of consensual pain or intense sensation."
"Kink Acronym","What does the safety principle SSC stand for?","Safe, Secure, Consensual","Safe, Sane, Consensual","Sensible, Safe, Consensual","Sane, Secure, Communal","1","SSC stands for Safe, Sane, and Consensual, a foundational principle for ethical kink."
"Kink Acronym","What does the safety principle RACK stand for?","Risk-Accepted Consensual Kink","Risk-Acknowledged Consensual Kink","Risk-Aware Consensual Kink","Rules-Aware Consensual Kink","2","RACK stands for Risk-Aware Consensual Kink, emphasizing informed consent about potential risks."
"Kink Acronym","What does M/s stand for?","Mommy and son","Master and slave","Masochist and sadist","Marriage and service","1","M/s stands for Master/slave, a Total Power Exchange dynamic."
"Kink Acronym","What does the acronym FLR stand for?","Fun, Loving, Respect","Female-Led Relationship","Formal Loving Rules","Family-Like Relationship","1","FLR stands for Female-Led Relationship, where the woman is the primary authority."
"Kink Acronym","In a CG/l relationship, what does 'CG' stand for?","Commanding General","Caring Guardian","Caregiver","Control Guide","2","CG stands for Caregiver, who looks after the 'little' (l) in a nurturing dynamic."
"Kink Acronym","What does TPE stand for?","Total Pleasure Experience","Temporary Power Exchange","Total Power Exchange","Trusted Partner Engagement","2","TPE stands for Total Power Exchange, where authority is given extensively, often 24/7."
"Kink Acronym","What does the acronym GFD stand for?","Good Fun Discipline","Genuine Formal Domination","Guided Female Development","Gentle Femdom","3","GFD stands for Gentle Femdom, a softer, more nurturing style of female dominance."
"Kink Acronym","In a BDSM context, what does CBT stand for?","Cognitive Behavioral Therapy","Cock and Ball Torture","Computer-Based Training","Core Body Tension","1","In BDSM, CBT stands for Cock and Ball Torture, a form of play involving the male genitals."
"Kink Acronym","What does the acronym AB/DL refer to?","Adult Baby / Diaper Lover","Alpha Beta / Dynamic Link","Aftercare Bonding / Deep Love","Always Bound / Disciplined Little","0","AB/DL stands for Adult Baby / Diaper Lover, relating to age play and/or a paraphilic interest in diapers."
"Kink Acronym","What does the term 'Vanilla' refer to?","A flavor of ice cream","A type of submissive","Conventional, non-kinky sexuality","A brand of lubricant","2","Vanilla describes sexual preferences or activities that are conventional and not involving BDSM."
"Kink Acronym","What does IRL stand for?","I Really Love","In Real Life","Internal Role Logic","I Respectfully Leave","1","IRL distinguishes online or fantasy interactions from those that happen in person."
"Kink Acronym","In online personals, what does AAS mean?","Age-Activity-Sex","Above All Else","Anything And Everything","As A Submissive","3","AAS means 'As A Submissive,' indicating the poster's role."
"Kink Acronym","What does the acronym YKINMK stand for?","You Know I Need My Kinks","Your Kink Is Not My Kink","You Keep It New & Modern, Kink","Yes, Kink Is Naturally My Kind","1","YKINMK is a polite way to express that something isn't to your taste without shaming others."
"Kink Acronym","What does the acronym NSFW mean?","Not Safe For Work","New, Safe, Fun, Welcoming","No Strings, For Wellness","Not Suitable For Wimps","0","NSFW is a common internet warning for explicit or sexual content."
"Kink Acronym","In online profiles, what does F4M denote?","Friend for Marriage","Female for Male","Fun for Money","Freedom for Mastery","1","F4M indicates a Female seeking a Male."
"Kink Acronym","What does the acronym JOI stand for?","Joy Of Instruction","Jerk Off Instructions","Just Obey Instantly","Judgment Of Intent","1","JOI is a form of erotic instruction where the submissive is told how to masturbate."
"Kink Acronym","In Femdom, what does CFNM describe?","Clothed Female, Nude Male","Controlled Female, Naked Master","Chastity For Naked Males","Commanding Female, Neutral Male","0","CFNM is a common Femdom theme where the power imbalance is highlighted by the state of dress."
"Kink Acronym","What does the acronym FLM stand for?","Family Life Mastery","Female Led Marriage","Fun, Loving, Motherly","Formal Loving Mistress","1","FLM is a Female-Led Marriage, a type of FLR that is formalized through marriage."
"Kink Acronym","What does the acronym CEI stand for?","Cum Eating Instruction","Clothing Elimination Immediately","Consensual Endurance Increase","Constant Emotional Investment","0","CEI stands for Cum Eating Instruction, a form of psychological play and/or humiliation."
"Kink Acronym","What does the acronym SSBBW stand for?","Super Soft Big Beautiful Woman","Super Sized Big Beautiful Woman","Sensual, Sexy, Big Beautiful Woman","Smart, Strong, Big Beautiful Woman","1","SSBBW is a personals/fetish acronym for Super Sized Big Beautiful Woman."
"Kink Acronym","What does the acronym DM on social media stand for?","Dungeon Master","Direct Message","Discipline Me","Dominant Male","1","DM refers to a private Direct Message."
"Kink Acronym","What does the acronym AMA signify in an online forum?","Ask Me Anything","About My Assets","Aftercare, My Approach","All My Accounts","0","An AMA is a Q&A session where someone offers to answer questions from the community."
"Kink Acronym","What does LDR in a kink context describe?","Long-Distance Relationship","Low-Dominance Response","Light, Demanding, Respectful","Latex Doll Roleplay","0","An LDR is a relationship where partners are geographically separated."
"Kink Acronym","What does the term 'Brat' refer to?","A type of cheese","A submissive who enjoys being degraded","A submissive who enjoys teasing and breaking rules","A new Dominant","2","A Brat is a type of submissive who deliberately misbehaves or talks back to provoke a funishment or reaction from their Dominant."
"Kink Acronym","What does the term 'Switch' mean?","A type of punishment tool","A person who enjoys both dominant and submissive roles","A person who only does online play","A safety device to stop a scene","1","A Switch is someone who can fluidly take on either the dominant or submissive role."
"Kink Acronym","What does the acronym EDGE refer to in a BDSM context?","The practice of using knives","The practice of bringing someone to the brink of orgasm and stopping","The outer limit of a boundary","The start of a scene","1","Edging is the practice of being brought to the point of orgasm and then stopping, repeatedly, to intensify the eventual release."
"Kink Acronym","What does the acronym HNT often mean in online kink spaces?","Hard Night Training","Have Nice Time","Heavy Needle Torture","Hide N' Tease","3","HNT stands for Hide N' Tease, a game involving suggestive but partially concealed photos."
"Kink Acronym","What does the acronym FORD stand for in negotiation?","A car brand","Family, Occupation, Recreation, Dreams","Freedom, Obedience, Rules, Discipline","Fantasy, Objective, Reality, Denial","1","FORD is a common small-talk acronym to discuss non-kink topics to build connection: Family, Occupation, Recreation, Dreams."
"Kink Acronym","What does the acronym PRICK stand for?","Personal Responsibility, Informed, Consensual Kink","Prompt Response In Critical Kinks","Professional Rules In Consensual Kink","Partners Respecting Individual Consensual Kinks","0","PRICK stands for Personal Responsibility, Informed, Consensual Kink, placing emphasis on individual accountability."
"Kink Acronym","What does the acronym W/we signify in dynamic writing?","With pleasure","The Dominant and the submissive","Win or win","Willfully wed","1","The capitalized 'We' refers to the Dominant, the lowercase 'we' refers to the submissive, and 'W/we' is used to encompass both together respectfully."
"Kink Acronym","What does the acronym TL;DR in a kink profile mean?","Too Long; Didn't Read","True Love; Deep Respect","Training, Learning; Development, Rules","Tender, Loving; Demanding, Rigid","0","TL;DR is an internet acronym for a summary of a long piece of text."
"Kink Acronym","What does the acronym PNP in some kink circles stand for?","Party and Play","Punishment and Pain","Protocols and Procedures","Pets and Partners","0","PNP stands for Party and Play, which often refers to sexual activity under the influence of drugs, a high-risk activity requiring extreme caution."
"Kink Acronym","What does the acronym RED mean in a safety context?","A color theme","Remember Everyone's Desires","Rapid Escape Device","Recognize, Evaluate, Decide","3","RED is a situational awareness model: Recognize the hazard, Evaluate your options, Decide what to do."
"Kink Acronym","What does the acronym TENS stand for in sensation play?","Total Electric Nerve Stimulation","Tactile Enhancement Nervous System","Trans-Epidermal Nerve Stimulator","Transcutaneous Electrical Nerve Stimulation","3","A TENS unit is a medical device often repurposed in kink for electrical play."
"Kink Acronym","What does the acronym O/U in technical bondage refer to?","Over/Under","Oak/Unfinished","Oval/Uniform","One/Use","0","O/U refers to the 'Over/Under' technique for weaving a rope."
"Kink Acronym","What does the acronym ESD in electrical play safety mean?","Electro-Static Discharge","Energy Source Device","Emergency Shutoff Device","Extreme Sensation Device","0","ESD (Electro-Static Discharge) can damage electronics and poses a minor risk in some forms of electrical play."
"Kink Acronym","What does the acronym CCCC is used in first aid for?","Care, Comfort, Cool, Calm","Code, Call, Compress, Cover","Catastrophic Cut Care & Compress","Circulation, Capillaries, Color, Condition","2","CCCC (Catastrophic Cut Care & Compress) is vital knowledge for those involved in edge play like knife or needle play."
"Kink Acronym","What does the acronym GOR stand for?","Game Of Roles","General Operation Rules","Gorean","Guarantee Of Respect","2","GOR refers to the Gorean philosophy based on the novels of John Norman, which includes a strict master/slave dynamic."
"Kink Acronym","What does the acronym META stand for in a community context?","Most Effective Tactic Available","Medical, Emotional, Technical, Aftercare","Mutually Enjoyed Thrilling Activities","My Exclusive Training Agreement","0","META means the Most Effective Tactic Available, often used when discussing strategy."
"Kink Acronym","What does the acronym 'Aftercare' refer to?","Care taken after a scene ends","The final stage of a relationship","Care taken before a scene","A type of bondage","0","Aftercare is the time after a scene for partners to care for each other, often involving reassurance, hydration, and physical comfort."
"Basic Terminology & Concepts","What is a 'Hard Limit'?","A limit that is difficult to achieve","A limit that is non-negotiable and will not be done","A limit that can be pushed with negotiation","A time limit for a scene","1","A Hard Limit is an activity that a person will not under any circumstances agree to."
"Basic Terminology & Concepts","What is a 'Safeword'?","A word that starts a scene","A secret code between partners","A pre-agreed word to stop or pause a scene","The safe name for a Dominant","2","A Safeword is a pre-arranged word that, when spoken, immediately stops all play."
"Basic Terminology & Concepts","What does the term 'Scene' refer to?","A dramatic argument","A location for play","A specific BDSM session or activity","A part of a movie","2","A scene is a consensual BDSM session, with a beginning and an end, that takes place between partners."
"Basic Terminology & Concepts","What is a 'Dungeon'?","A dark basement","A medieval prison","A designated space for BDSM play","A type of fantasy story","2","A dungeon is a space, often a room or club, specifically designed and equipped for BDSM activities."
"Basic Terminology & Concepts","What does the term 'Topping from the Bottom' mean?","A submissive who is very good at their role","A submissive who is physically on top","A submissive who attempts to control the scene","A Dominant who is being passive","2","Topping from the Bottom describes a submissive who tries to dictate or control the flow of the scene, undermining the Dominant's role."
"Basic Terminology & Concepts","What is a 'Play Party'?","A children's birthday party","A social gathering where BDSM activities occur","A party where everyone acts","A party to play board games","1","A play party is a social event where attendees may engage in BDSM scenes, often with established rules and monitors."
